instruction,kind,opcode_hex,funct_hex,addr_start_hex,addr_end_hex,control_word_hex
add,exact,0x00,0x20,0x020,0x020,0x05000700
addu,exact,0x00,0x21,0x021,0x021,0x05000700
sub,exact,0x00,0x22,0x022,0x022,0x05001700
subu,exact,0x00,0x23,0x023,0x023,0x05001700
and,exact,0x00,0x24,0x024,0x024,0x05002700
or,exact,0x00,0x25,0x025,0x025,0x05003700
xor,exact,0x00,0x26,0x026,0x026,0x05004700
nor,exact,0x00,0x27,0x027,0x027,0x0500A700
slt,exact,0x00,0x2A,0x02A,0x02A,0x05005700
sltu,exact,0x00,0x2B,0x02B,0x02B,0x05006700
abs,exact,0x00,0x2C,0x02C,0x02C,0x0520B700
sll,exact,0x00,0x00,0x000,0x000,0x05D07700
srl,exact,0x00,0x02,0x002,0x002,0x05D08700
sra,exact,0x00,0x03,0x003,0x003,0x05D09700
sllv,exact,0x00,0x04,0x004,0x004,0x05D87700
srlv,exact,0x00,0x06,0x006,0x006,0x05D88700
srav,exact,0x00,0x07,0x007,0x007,0x05D89700
addi,opcode_range,0x08,*,0x200,0x23F,0x04080700
addiu,opcode_range,0x09,*,0x240,0x27F,0x04080700
andi,opcode_range,0x0C,*,0x300,0x33F,0x040A2700
ori,opcode_range,0x0D,*,0x340,0x37F,0x040A3700
xori,opcode_range,0x0E,*,0x380,0x3BF,0x040A4700
slti,opcode_range,0x0A,*,0x280,0x2BF,0x04085700
sltiu,opcode_range,0x0B,*,0x2C0,0x2FF,0x04086700
lui,opcode_range,0x0F,*,0x3C0,0x3FF,0x048C0700
lb,opcode_range,0x20,*,0x800,0x83F,0x04080020
lbu,opcode_range,0x24,*,0x900,0x93F,0x04080030
lh,opcode_range,0x21,*,0x840,0x87F,0x04080120
lhu,opcode_range,0x25,*,0x940,0x97F,0x04080130
lw,opcode_range,0x23,*,0x8C0,0x8FF,0x04080220
sb,opcode_range,0x28,*,0xA00,0xA3F,0x03080C40
sh,opcode_range,0x29,*,0xA40,0xA7F,0x03080D40
sw,opcode_range,0x2B,*,0xAC0,0xAFF,0x03080E40
beq,opcode_range,0x04,*,0x100,0x13F,0x034E0F08
bne,opcode_range,0x05,*,0x140,0x17F,0x034F0F08
j,opcode_range,0x02,*,0x080,0x0BF,0x03B8FF04
jal,opcode_range,0x03,*,0x0C0,0x0FF,0x06B8FB04
jr,exact,0x00,0x08,0x008,0x008,0x0338FF06
jalr,exact,0x00,0x09,0x009,0x009,0x0538FB06
unknown_safe_nop,opcode_range,0x3F,*,0xFC0,0xFFF,0x03A0FF00
